City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
416,bathsheba,13.2167,-59.5167,79.41,73,40,14.97,BB,1677887450
417,bourail,-21.5667,165.4833,78.06,88,100,13.98,NC,1677887451
418,andenes,69.3143,16.1194,25.93,86,100,31.07,NO,1677887452
419,bogorodskoye,56.55,37.8833,17.71,98,91,5.26,RU,1677887453
420,turki,51.987,43.2731,29.98,97,100,10.02,RU,1677887454
421,buala,-8.145,159.5921,80.1,84,100,8.75,SB,1677887456
422,saint-leu,-21.15,55.2833,78.96,89,96,6.91,RE,1677887457
423,panzos,15.4,-89.6667,84.07,47,69,0.85,GT,1677887458
424,goure,13.9835,10.2704,80.01,12,100,6.51,NE,1677887459
425,ponta delgada,37.7333,-25.6667,54.32,82,75,11.5,PT,1677887461
426,hecun,36.5333,114.1111,48.97,24,39,5.86,CN,1677887463
427,berlevag,70.8578,29.0864,33.8,93,100,24.16,NO,1677887464
428,iskateley,67.6803,53.1512,-15.45,100,95,3.83,RU,1677887465
429,huarmey,-10.0681,-78.1522,75.06,79,70,8.68,PE,1677887466
430,mount gambier,-37.8333,140.7667,66.49,62,100,0.87,AU,1677887468
431,kamaishi,39.2667,141.8833,42.51,62,40,7.94,JP,1677887469
432,brae,60.3964,-1.353,38.71,64,73,14.38,GB,1677887470
433,kavaratti,10.5669,72.642,80.71,68,0,5.53,IN,1677887472
434,jodar,37.8406,-3.3526,39.15,48,27,2.33,ES,1677887473
435,formosa do rio preto,-11.0483,-45.1931,76.86,59,43,0.65,BR,1677887474
436,vila velha,-20.3297,-40.2925,80.55,87,20,12.66,BR,1677887342
437,tonneins,44.3921,0.3124,30.42,58,97,4.34,FR,1677887477
438,sabang,5.8933,95.3214,81.05,76,70,22.68,ID,1677887478
439,lerwick,60.1545,-1.1494,37.4,65,73,13.91,GB,1677887480
440,zabol,32.25,67.25,41.61,84,29,3.56,AF,1677887481
441,rafaela,-31.2503,-61.4867,82.0,57,63,3.85,AR,1677887482
442,port macquarie,-31.4333,152.9167,78.89,62,72,10.2,AU,1677887430
443,pimentel,-6.8367,-79.9342,79.09,69,75,17.27,PE,1677887484
444,port hawkesbury,45.6169,-61.3485,24.19,82,100,19.57,CA,1677887485
